league,match_date,round_number,home_team,away_team,home_score,away_score,team,venue,ball_possession,total_shots,shots_on_target,shots_off_target,shots_inside_box,shots_outside_box,blocked_shots,expected_goals,big_chances,big_chances_scored,big_chances_missed,passes,accurate_passes,pass_accuracy_pct,long_balls_total,long_balls_value,long_balls_pct,crosses_total,crosses_value,crosses_pct,dribbles_total,dribbles_value,dribbles_pct,duels,ground_duels_total,ground_duels_value,ground_duels_pct,aerial_duels_total,aerial_duels_value,aerial_duels_pct,total_tackles,tackles,tackles_won,fouls,yellow_cards,offsides,corner_kicks,throw_ins,goal_kicks,free_kicks,clearances,interceptions,recoveries,dispossessed,hit_woodwork,through_balls,total_saves,goalkeeper_saves,big_saves,high_claims,goals_prevented,errors_lead_to_a_goal,errors_lead_to_a_shot,final_third_phase_total,final_third_phase_value,final_third_phase_pct,final_third_entries,touches_in_penalty_area,fouled_in_final_third,attack,attack_pct,ball_safe,ball_safe_pct,dangerous_attack,dangerous_attack_pct,xg_actual
france_ligue_1_2026_2027,2026-08-21,1,Olympique de Marseille,RC Strasbourg,4,0,Olympique de Marseille,home,67,14,8,4,9,5,2,1.86,3,2,1,687,626,91.1,34,16,47,15,2,13,11,7,64,52,69,35,51,14,8,57,17,17,65,6,1,,3,19,4,11,11,8,50,15,0,,2,2,0,0,0.08,,1,151,124,82,58,34,4,87,28,67,45,54,27,1.89
france_ligue_1_2026_2027,2026-08-21,1,Olympique de Marseille,RC Strasbourg,4,0,RC Strasbourg,away,33,5,2,3,3,2,0,0.18,0,0,0,337,286,84.9,41,18,44,12,1,8,18,9,50,48,69,34,49,14,6,43,19,19,68,12,2,,4,9,11,6,24,8,42,8,0,,4,4,1,1,-1.98,,3,67,46,69,25,8,0,59,16,63,69,28,15,0.2
france_ligue_1_2026_2027,2026-08-22,1,Le Mans,Stade Brestois,2,2,Le Mans,home,50,8,5,2,5,3,1,0.69,1,1,0,415,317,76.4,77,36,47,13,2,15,14,6,43,39,79,31,39,40,15,38,14,14,43,14,1,3,1,21,11,12,31,12,52,10,0,,4,4,0,1,0.13,0,1,85,40,47,57,13,,90,23,82,57,39,20,0.69
france_ligue_1_2026_2027,2026-08-22,1,Le Mans,Stade Brestois,2,2,Stade Brestois,away,50,26,7,15,23,3,4,2.41,3,2,1,399,314,78.7,76,38,50,28,11,39,23,16,70,61,79,48,61,40,25,63,18,18,56,12,1,2,10,20,5,14,27,11,54,7,0,,3,3,1,1,-0.7,1,0,124,83,67,57,39,,80,28,71,39,44,33,2.54
france_ligue_1_2026_2027,2026-08-22,1,Nice,Lorient,0,0,Lorient,away,40,10,2,5,8,2,3,1.24,5,,5,417,352,84.4,39,12,31,16,4,25,10,3,30,52,54,28,52,26,14,54,10,10,50,8,0,1,3,10,8,15,26,15,38,7,0,,1,1,0,1,0.23,,1,105,75,71,41,21,1,72,22,67,64,33,14,1.25
france_ligue_1_2026_2027,2026-08-22,1,Nice,Lorient,0,0,Nice,home,60,14,1,7,8,6,6,1.08,1,,1,628,549,87.4,61,28,46,26,6,23,7,5,71,48,54,26,48,26,12,46,14,14,71,15,1,2,9,21,6,8,16,7,44,8,0,,2,2,2,0,0.14,,0,209,159,76,86,20,1,84,25,68,42,50,33,1.08
france_ligue_1_2026_2027,2026-08-22,1,RC Lens,Auxerre,5,2,Auxerre,away,47,10,4,3,5,5,3,1.84,2,2,0,416,338,81.2,39,17,44,12,3,25,26,12,46,43,77,31,40,19,10,53,13,13,62,21,1,3,7,18,5,5,21,11,50,7,0,0,4,4,0,0,-1.09,,1,122,79,65,46,29,2,73,31,55,39,34,30,1.79
france_ligue_1_2026_2027,2026-08-22,1,RC Lens,Auxerre,5,2,RC Lens,home,53,12,9,2,10,2,1,4.41,10,5,5,470,415,88.3,38,21,55,13,3,23,14,6,43,57,77,46,60,19,9,47,21,21,62,6,1,1,4,19,3,19,21,14,42,5,0,1,2,2,1,1,-0.2,,0,105,76,72,38,31,6,51,19,58,35,32,46,4.45
france_ligue_1_2026_2027,2026-08-22,1,Toulouse,Olympique Lyonnais,0,2,Olympique Lyonnais,away,52,11,3,5,7,4,3,0.67,0,,0,475,415,87.4,51,25,49,14,1,7,16,8,50,47,75,38,51,15,4,27,15,15,60,15,2,0,5,16,13,15,20,13,42,7,1,,2,2,,0,0.34,,1,105,77,73,34,24,0,91,20,91,59,40,21,0.65
france_ligue_1_2026_2027,2026-08-22,1,Toulouse,Olympique Lyonnais,0,2,Toulouse,home,48,17,2,12,12,5,3,2.59,4,,4,433,371,85.7,50,29,58,18,4,22,19,9,47,53,75,37,49,15,11,73,15,15,47,15,1,2,6,19,10,15,18,7,44,5,1,,1,1,,1,-0.77,,3,104,71,68,46,31,3,90,24,81,54,41,22,2.6
