league,match_date,round_number,home_team,away_team,home_score,away_score,team,venue,ball_possession,total_shots,shots_on_target,shots_off_target,shots_inside_box,shots_outside_box,blocked_shots,expected_goals,big_chances,big_chances_scored,big_chances_missed,passes,accurate_passes,pass_accuracy_pct,long_balls_total,long_balls_value,long_balls_pct,crosses_total,crosses_value,crosses_pct,dribbles_total,dribbles_value,dribbles_pct,duels,ground_duels_total,ground_duels_value,ground_duels_pct,aerial_duels_total,aerial_duels_value,aerial_duels_pct,total_tackles,tackles,tackles_won,fouls,yellow_cards,offsides,corner_kicks,throw_ins,goal_kicks,free_kicks,clearances,interceptions,recoveries,dispossessed,hit_woodwork,through_balls,total_saves,goalkeeper_saves,big_saves,high_claims,goals_prevented,errors_lead_to_a_goal,errors_lead_to_a_shot,final_third_phase_total,final_third_phase_value,final_third_phase_pct,final_third_entries,touches_in_penalty_area,fouled_in_final_third,attack,attack_pct,ball_safe,ball_safe_pct,dangerous_attack,dangerous_attack_pct,xg_actual
k_league_1_2026,2026-08-16,23,Ulsan HD,Gangwon FC,2,3,Ulsan HD,home,51,12,6,5,8,4,1,0.0,3,2,1,448,351,78.3,59,20,34,20,6,30,11,9,82,53,54,31,57,34,16,47,11,11,64,6,2,2,3,21,4,11,27,7,49,9,0,0,3,3,,,,0,,134,89,66,69,13,2,74,34,61,41,38,25,2.24
k_league_1_2026,2026-08-16,23,Ulsan HD,Gangwon FC,2,3,Gangwon FC,away,49,12,5,5,9,3,2,0.0,3,1,2,428,336,78.5,60,16,27,18,3,17,14,6,43,47,54,23,43,34,18,53,11,11,91,11,1,4,7,19,9,6,22,9,50,3,0,2,4,4,,,,1,,111,63,57,75,20,1,68,31,65,44,26,25,1.82
k_league_1_2026,2026-08-16,23,Incheon United,Gimcheon Sangmu FC,1,1,Incheon United,home,47,10,2,5,7,3,3,0.0,0,,0,424,343,80.9,51,29,57,7,3,43,18,8,44,49,60,28,47,23,13,57,9,9,44,11,2,1,1,20,3,13,14,10,49,9,0,,4,4,,,,,,101,56,55,49,24,2,93,31,87,44,40,25,1.0
k_league_1_2026,2026-08-16,23,Incheon United,Gimcheon Sangmu FC,1,1,Gimcheon Sangmu FC,away,53,12,5,3,10,2,4,0.0,1,,1,470,390,83.0,42,17,40,10,6,60,11,4,36,51,60,32,53,23,10,43,19,19,74,13,3,3,2,12,8,11,15,11,39,2,0,,1,1,,,,,,82,51,62,44,21,0,88,25,81,61,32,14,1.44
k_league_1_2026,2026-08-16,23,Bucheon FC 1995,Jeonbuk Hyundai Motors,3,2,Bucheon FC 1995,home,29,15,6,5,6,9,4,0.0,1,1,,238,165,69.3,62,20,32,9,2,22,7,3,43,46,45,26,58,44,15,34,9,9,67,9,4,0,5,10,11,14,44,5,30,3,0,,2,2,,1,,0,,94,65,69,46,19,3,40,18,60,41,29,41,1.55
k_league_1_2026,2026-08-16,23,Bucheon FC 1995,Jeonbuk Hyundai Motors,3,2,Jeonbuk Hyundai Motors,away,71,26,4,14,17,9,8,0.0,1,1,,580,511,88.1,48,28,58,37,14,38,8,5,63,54,45,19,42,44,29,66,7,7,57,0,2,1,10,16,6,9,15,7,37,6,1,,3,3,,0,,1,,189,145,77,93,50,4,89,27,66,20,75,53,2.25
k_league_1_2026,2026-08-15,23,Jeju SK,FC Anyang,2,0,Jeju SK,home,43,15,4,8,13,2,3,0.0,3,2,1,331,260,78.5,60,25,42,16,3,19,13,4,31,52,65,32,49,44,25,57,12,12,33,11,4,3,1,20,6,17,42,8,48,9,0,1,3,3,,1,,,,102,62,61,63,32,3,57,36,47,44,37,20,1.27
k_league_1_2026,2026-08-15,23,Jeju SK,FC Anyang,2,0,FC Anyang,away,57,10,3,5,6,4,2,0.0,0,0,0,443,359,81.0,49,19,39,23,5,22,13,5,38,48,65,33,51,44,19,43,18,18,83,17,1,1,4,22,14,11,21,5,37,4,1,0,2,2,,0,,,,120,79,66,48,21,1,66,34,56,47,40,19,0.54
k_league_1_2026,2026-08-15,23,Gwangju FC,Pohang Steelers,1,2,Gwangju FC,home,57,25,10,8,16,9,7,0.0,1,0,1,597,553,92.6,35,22,63,27,9,33,6,2,33,46,39,17,44,31,15,48,12,12,83,13,2,0,9,16,6,3,5,6,32,4,0,0,1,1,0,,,,0,95,79,83,46,32,,103,33,72,38,44,29,2.43
k_league_1_2026,2026-08-15,23,Gwangju FC,Pohang Steelers,1,2,Pohang Steelers,away,43,5,3,2,5,0,0,0.0,2,2,0,473,423,89.4,41,16,39,5,3,60,7,2,29,54,39,22,56,31,16,52,8,8,63,3,0,1,1,17,8,13,27,7,22,7,0,1,9,9,1,,,,1,63,38,60,39,17,,67,19,66,67,21,14,0.87
k_league_1_2026,2026-08-15,23,FC Seoul,Daejeon Hana Citizen,4,2,FC Seoul,home,59,16,8,5,13,3,3,2.92,3,3,,470,393,83.6,46,27,59,19,6,32,11,6,55,59,42,26,62,26,14,54,11,11,91,,4,1,5,22,4,9,30,9,36,3,1,,2,2,,,,,,169,130,77,71,34,1,86,29,75,33,51,38,3.49
k_league_1_2026,2026-08-15,23,FC Seoul,Daejeon Hana Citizen,4,2,Daejeon Hana Citizen,away,41,12,3,4,6,6,5,1.48,0,0,,321,242,75.4,54,24,44,16,3,19,9,3,33,41,42,16,38,26,12,46,8,8,88,,2,0,8,10,7,5,29,9,34,5,0,,4,4,,,,,,98,57,58,50,18,0,74,31,67,39,37,30,0.83
k_league_1_2026,2026-08-08,22,Pohang Steelers,Ulsan HD,0,2,Pohang Steelers,home,50,11,0,9,5,6,2,0.0,0,,0,539,474,87.9,36,13,36,15,3,20,19,6,32,49,65,31,48,20,11,55,19,19,84,6,1,1,1,12,3,6,9,7,44,4,1,,5,5,,,,,,127,89,70,61,19,1,92,30,81,47,44,23,0.77
k_league_1_2026,2026-08-08,22,Pohang Steelers,Ulsan HD,0,2,Ulsan HD,away,50,12,7,2,10,2,3,0.0,1,,1,545,487,89.4,45,23,51,12,4,33,15,11,73,51,65,34,52,20,9,45,17,17,71,6,1,3,3,16,12,6,18,12,43,15,1,,0,0,,,,,,95,67,71,49,16,1,80,21,86,55,37,24,1.18
k_league_1_2026,2026-08-08,22,Jeonbuk Hyundai Motors,Jeju SK,1,3,Jeonbuk Hyundai Motors,home,70,37,10,17,23,14,10,0.0,1,0,1,494,450,91.1,36,21,58,35,9,26,6,3,50,51,48,24,50,28,15,54,7,7,57,,2,1,11,12,5,14,13,4,34,7,1,,1,1,0,,,,,151,130,86,70,40,6,98,20,69,30,67,50,3.32
k_league_1_2026,2026-08-08,22,Jeonbuk Hyundai Motors,Jeju SK,1,3,Jeju SK,away,30,9,4,4,7,2,1,0.0,3,2,1,213,160,75.1,44,20,45,8,2,25,4,2,50,49,48,24,50,28,13,46,10,10,50,,1,0,3,12,20,11,30,5,24,5,0,,9,9,1,,,,,61,37,61,45,17,4,72,22,59,49,38,29,1.53
k_league_1_2026,2026-08-08,22,Gimcheon Sangmu FC,FC Seoul,0,0,Gimcheon Sangmu FC,home,56,8,2,5,6,2,1,0.0,,,,466,392,84.1,55,28,51,9,3,33,12,3,25,50,58,29,50,26,13,50,13,13,77,11,1,5,1,10,4,13,14,10,44,7,0,5,2,2,,0,,,,99,62,63,57,17,1,72,21,77,66,30,13,0.64
k_league_1_2026,2026-08-08,22,Gimcheon Sangmu FC,FC Seoul,0,0,FC Seoul,away,44,5,2,2,4,1,1,0.0,,,,368,295,80.2,49,28,57,11,2,18,11,2,18,50,58,29,50,26,13,50,16,16,88,13,1,3,2,13,4,11,16,10,38,4,0,1,2,2,,1,,,,86,58,67,44,17,1,76,27,67,52,39,21,0.45
k_league_1_2026,2026-08-08,22,FC Anyang,Daejeon Hana Citizen,1,2,FC Anyang,home,48,23,6,9,8,15,8,0.0,2,1,1,369,300,81.3,42,19,45,23,6,26,7,1,14,49,51,25,49,34,17,50,8,8,75,,1,3,5,20,6,17,22,8,37,6,0,,7,7,0,,,,,96,69,72,45,27,7,54,21,57,41,40,38,1.83
k_league_1_2026,2026-08-08,22,FC Anyang,Daejeon Hana Citizen,1,2,Daejeon Hana Citizen,away,52,21,9,8,20,1,4,0.0,2,2,0,405,328,81.0,66,27,41,20,9,45,6,2,33,51,51,26,51,34,17,50,12,12,42,,3,2,6,19,11,12,31,4,33,4,2,,5,5,1,,,,,140,100,71,73,31,3,79,21,71,53,42,26,2.86
k_league_1_2026,2026-08-08,22,Bucheon FC 1995,Gwangju FC,0,0,Bucheon FC 1995,home,40,12,5,2,5,7,5,0.0,0,,0,316,259,82.0,45,19,42,9,3,33,6,4,67,45,56,27,48,24,9,38,10,10,50,16,1,1,3,10,11,13,27,11,29,7,0,1,1,1,,,,,,54,30,56,35,14,2,65,31,63,53,22,16,0.76
k_league_1_2026,2026-08-08,22,Bucheon FC 1995,Gwangju FC,0,0,Gwangju FC,away,60,14,1,8,7,7,5,0.0,3,,3,464,410,88.4,37,19,51,19,7,37,9,4,44,55,56,29,52,24,15,63,9,9,89,13,2,2,7,16,5,16,17,5,32,5,1,0,5,5,,,,,,98,71,72,49,20,1,90,28,63,49,44,23,1.92
k_league_1_2026,2026-08-02,21,Ulsan HD,FC Anyang,3,1,Ulsan HD,home,47,12,3,9,8,4,0,2.54,2,2,0,412,362,87.9,37,21,57,14,5,36,10,1,10,46,56,28,50,16,5,31,14,14,71,,0,,2,14,8,12,16,7,29,5,3,,1,1,,,,0,,122,99,81,43,20,2,67,12,64,46,48,42,2.06
k_league_1_2026,2026-08-02,21,Ulsan HD,FC Anyang,3,1,FC Anyang,away,53,8,2,5,6,2,1,1.57,2,0,2,473,410,86.7,25,11,44,11,4,36,8,4,50,54,56,28,50,16,11,69,14,14,86,,1,,1,24,7,10,15,6,34,10,2,,0,0,,,,1,,93,62,67,57,10,2,67,22,61,46,33,32,1.38
k_league_1_2026,2026-08-02,21,Jeju SK,Incheon United,3,3,Jeju SK,home,51,13,5,6,8,5,2,,2,2,,399,334,83.7,45,20,44,22,5,23,23,13,57,49,78,40,51,26,11,42,11,11,100,13,3,4,5,26,6,16,22,9,41,11,0,1,4,4,,,,,,117,84,72,59,19,3,91,33,66,33,46,34,1.57
k_league_1_2026,2026-08-02,21,Jeju SK,Incheon United,3,3,Incheon United,away,49,11,7,2,7,4,2,,2,2,,397,330,83.1,38,14,37,16,7,44,11,5,45,51,78,38,49,26,15,58,21,21,76,16,2,1,5,14,11,13,24,7,36,5,1,0,2,2,,,,,,108,72,67,42,17,0,82,32,71,37,40,31,1.54
k_league_1_2026,2026-08-02,21,Daejeon Hana Citizen,Gwangju FC,2,0,Daejeon Hana Citizen,home,61,18,5,6,13,5,7,2.03,2,1,1,514,459,89.3,38,25,66,22,6,27,8,1,13,47,44,19,43,20,11,55,11,11,55,10,1,0,8,15,4,7,19,6,44,8,1,,3,3,,,,,1,154,122,79,71,35,,74,34,56,33,51,33,2.05
k_league_1_2026,2026-08-02,21,Daejeon Hana Citizen,Gwangju FC,2,0,Gwangju FC,away,39,9,3,5,6,3,1,0.65,0,0,0,333,269,80.8,48,21,44,12,4,33,8,1,13,53,44,25,57,20,9,45,15,15,73,7,1,1,2,18,6,10,26,12,32,4,0,,3,3,,,,,1,66,42,64,34,11,,44,18,63,69,20,13,0.79
k_league_1_2026,2026-08-01,21,Pohang Steelers,Gimcheon Sangmu FC,0,1,Pohang Steelers,home,45,11,2,7,5,6,2,,0,0,0,420,371,88.3,47,23,49,10,2,20,13,5,38,48,43,22,51,19,8,42,11,11,82,,,2,3,11,5,7,25,6,43,6,0,0,4,4,2,2,,,,83,54,65,53,17,1,62,29,61,58,26,13,0.59
k_league_1_2026,2026-08-01,21,Pohang Steelers,Gimcheon Sangmu FC,0,1,Gimcheon Sangmu FC,away,55,9,6,2,4,5,1,,3,1,2,511,449,87.9,54,27,50,19,5,26,8,2,25,52,43,21,49,19,11,58,14,14,64,,,2,7,17,7,5,17,4,34,5,0,2,2,2,0,1,,,,98,68,69,48,12,2,71,23,68,59,32,18,0.82
k_league_1_2026,2026-08-01,21,Jeonbuk Hyundai Motors,FC Seoul,0,0,Jeonbuk Hyundai Motors,home,50,14,5,3,5,9,6,,,,,366,307,83.9,38,14,37,17,7,41,10,5,50,50,54,28,52,22,10,45,13,13,54,12,2,3,4,19,7,10,24,1,29,6,0,,2,2,,,,,,93,58,62,39,15,2,77,23,66,51,39,26,0.86
k_league_1_2026,2026-08-01,21,Jeonbuk Hyundai Motors,FC Seoul,0,0,FC Seoul,away,50,7,2,2,3,4,3,,,,,364,305,83.8,37,12,32,13,1,8,11,3,27,50,54,26,48,22,12,55,11,11,45,10,2,3,5,16,5,12,21,2,29,5,0,,5,5,,,,,,76,50,66,35,9,2,70,19,63,58,31,23,0.37
k_league_1_2026,2026-08-01,21,Gangwon FC,Bucheon FC 1995,0,3,Gangwon FC,home,75,14,3,4,8,6,7,,1,0,1,461,386,83.7,69,40,58,28,7,25,8,4,50,54,55,27,49,38,23,61,8,8,88,,4,1,6,24,6,16,23,4,27,6,0,0,2,2,,0,,,,152,101,66,85,21,4,100,29,66,35,61,36,1.52
k_league_1_2026,2026-08-01,21,Gangwon FC,Bucheon FC 1995,0,3,Bucheon FC 1995,away,25,10,5,2,7,3,3,,1,1,0,147,79,53.7,49,20,41,15,4,27,8,6,75,46,55,28,51,38,15,39,10,10,70,,2,1,5,15,10,12,40,10,27,6,0,1,3,3,,1,,,,53,25,47,39,14,2,59,21,61,43,34,36,1.12
k_league_1_2026,2026-07-26,20,Incheon United,Bucheon FC 1995,1,1,Incheon United,home,70,15,3,8,10,5,4,2.04,1,,1,523,472,90.2,50,31,62,36,7,19,13,4,31,46,51,24,47,27,12,44,11,11,64,,2,2,8,21,3,10,16,4,41,9,0,,2,2,,,,,,188,154,82,89,32,1,77,28,66,31,48,41,1.39
k_league_1_2026,2026-07-26,20,Incheon United,Bucheon FC 1995,1,1,Bucheon FC 1995,away,30,8,2,2,5,3,4,0.52,1,,1,225,154,68.4,55,23,42,13,3,23,11,4,36,54,51,27,53,27,15,56,18,18,83,,4,0,7,22,15,5,30,9,28,4,0,,2,2,,,,,,72,38,53,41,13,2,52,17,58,48,23,35,1.67
k_league_1_2026,2026-07-26,20,Gwangju FC,Jeju SK,1,2,Gwangju FC,home,42,8,4,2,5,3,2,1.14,1,1,0,325,261,80.3,56,20,36,15,3,20,4,1,25,40,41,16,39,29,12,41,9,9,78,,1,3,4,20,10,6,35,5,31,7,0,,3,3,,0,,,,95,61,64,51,14,1,77,28,61,42,34,30,2.02
k_league_1_2026,2026-07-26,20,Gwangju FC,Jeju SK,1,2,Jeju SK,away,58,31,5,9,13,18,17,2.24,2,1,1,441,384,87.1,33,13,39,23,6,26,12,6,50,60,41,25,61,29,17,59,10,10,70,,0,0,11,25,2,9,28,5,37,3,0,,3,3,,1,,,,160,126,79,80,30,0,93,31,56,27,54,42,2.15
k_league_1_2026,2026-07-26,20,FC Seoul,Ulsan HD,1,3,FC Seoul,home,70,19,2,11,14,5,6,,1,0,1,518,459,88.6,43,31,72,40,12,30,17,6,35,48,54,25,46,42,21,50,8,8,75,,1,2,8,31,4,11,11,7,32,9,1,,1,1,,0,,1,,212,170,80,79,42,5,100,37,52,26,67,37,1.79
