league,match_date,round_number,home_team,away_team,home_score,away_score,team,venue,ball_possession,total_shots,shots_on_target,shots_off_target,shots_inside_box,shots_outside_box,blocked_shots,expected_goals,big_chances,big_chances_scored,big_chances_missed,passes,accurate_passes,pass_accuracy_pct,long_balls_total,long_balls_value,long_balls_pct,crosses_total,crosses_value,crosses_pct,dribbles_total,dribbles_value,dribbles_pct,duels,ground_duels_total,ground_duels_value,ground_duels_pct,aerial_duels_total,aerial_duels_value,aerial_duels_pct,total_tackles,tackles,tackles_won,fouls,yellow_cards,offsides,corner_kicks,throw_ins,goal_kicks,free_kicks,clearances,interceptions,recoveries,dispossessed,hit_woodwork,through_balls,total_saves,goalkeeper_saves,big_saves,high_claims,goals_prevented,errors_lead_to_a_goal,errors_lead_to_a_shot,final_third_phase_total,final_third_phase_value,final_third_phase_pct,final_third_entries,touches_in_penalty_area,fouled_in_final_third,attack,attack_pct,ball_safe,ball_safe_pct,dangerous_attack,dangerous_attack_pct,xg_actual
dinamarca_danish_superliga_2026_2027,2026-08-23,5,Viborg FF,FC København,4,0,Viborg FF,home,44,10,5,2,5,5,3,1.19,2,1,1,436,374,85.8,44,18,41,10,4,40,19,6,32,48,72,37,51,19,7,37,15,15,60,10,0,1,1,20,10,17,32,8,41,9,1,,0,0,,1,0.0,,,59,39,66,34,11,2,46,19,48,53,26,28,1.34
dinamarca_danish_superliga_2026_2027,2026-08-24,5,Brøndby IF,Silkeborg IF,3,1,Brøndby IF,home,56,17,5,2,11,6,10,2.14,3,2,1,502,437,87.1,37,21,57,22,6,27,13,7,54,42,74,29,39,10,6,60,13,13,54,15,3,0,9,18,5,10,18,10,43,9,0,1,3,3,,0,0.11,,,178,137,77,57,34,4,63,17,61,32,49,51,2.15
dinamarca_danish_superliga_2026_2027,2026-08-24,5,Brøndby IF,Silkeborg IF,3,1,Silkeborg IF,away,44,13,4,4,8,5,5,0.99,4,0,4,402,341,84.8,32,19,59,12,5,42,22,15,68,58,74,45,61,10,4,40,15,15,40,10,3,1,5,11,4,15,23,8,44,6,1,1,2,2,,2,-0.57,,,89,59,66,53,20,2,48,17,59,50,36,33,0.87
dinamarca_danish_superliga_2026_2027,2026-08-28,6,AC Horsens,Viborg FF,2,3,AC Horsens,home,52,9,5,3,3,6,1,0.83,1,1,0,444,383,86.3,44,21,48,20,4,20,10,4,40,49,62,32,52,24,10,42,15,15,73,15,3,3,3,16,9,13,24,9,47,7,0,,4,4,,,0.43,,0,115,76,66,64,9,4,75,31,65,40,46,29,0.8
dinamarca_danish_superliga_2026_2027,2026-08-28,6,AC Horsens,Viborg FF,2,3,Viborg FF,away,48,12,6,5,9,3,1,1.92,5,2,3,407,330,81.1,50,20,40,17,4,24,14,3,21,51,62,30,48,24,14,58,13,13,62,13,1,2,6,15,9,15,23,9,49,4,0,,3,3,,,-1.24,,1,89,59,66,44,30,2,76,24,77,47,27,29,1.8
dinamarca_danish_superliga_2026_2027,2026-08-30,6,FC Nordsjælland,Brøndby IF,3,1,Brøndby IF,away,60,16,4,6,11,5,6,1.76,3,1,2,607,542,89.3,50,29,58,29,8,28,17,8,47,48,91,41,45,12,8,67,25,25,60,15,1,1,5,16,6,8,11,15,60,14,0,0,5,5,,,-0.94,,3,251,202,80,80,41,3,80,44,53,32,41,24,1.45
dinamarca_danish_superliga_2026_2027,2026-08-30,6,FC Nordsjælland,Brøndby IF,3,1,FC Nordsjælland,home,40,15,9,4,9,6,2,3.32,5,2,3,405,337,83.2,45,20,44,7,2,29,25,12,48,52,91,50,55,12,4,33,23,23,78,8,3,2,4,18,10,15,26,11,58,12,0,3,3,3,,,-0.01,,2,81,54,67,29,33,0,55,21,58,59,21,20,3.21
dinamarca_danish_superliga_2026_2027,2026-08-30,6,Lyngby,Odense Boldklub,1,1,Lyngby,home,45,19,1,13,11,8,5,1.97,2,1,1,415,326,78.6,54,25,46,17,4,24,17,8,47,51,81,39,48,29,17,59,15,15,53,14,4,8,4,22,8,17,25,17,54,11,1,1,7,7,2,0,1.9,,0,197,151,77,86,35,5,104,21,85,37,69,42,1.96
dinamarca_danish_superliga_2026_2027,2026-08-30,6,Lyngby,Odense Boldklub,1,1,Odense Boldklub,away,55,18,8,6,16,2,4,1.88,3,1,2,500,410,82.0,66,32,48,27,6,22,15,8,53,49,81,42,52,29,12,41,20,20,30,17,4,0,6,15,10,14,25,8,52,8,1,1,0,0,0,2,-0.14,,1,126,91,72,60,31,1,93,25,93,45,57,30,1.76
dinamarca_danish_superliga_2026_2027,2026-08-30,6,Randers FC,AGF,2,1,AGF,away,59,17,6,8,12,5,3,1.97,1,1,0,522,445,85.2,53,28,53,22,4,18,23,16,70,48,89,44,49,32,14,44,14,14,64,15,2,2,5,31,6,14,14,6,59,18,0,,3,3,1,0,-0.86,0,1,148,106,72,61,28,3,,,,,,,1.69
dinamarca_danish_superliga_2026_2027,2026-08-30,6,Randers FC,AGF,2,1,Randers FC,home,41,8,5,3,5,3,0,1.1,3,1,2,362,281,77.6,64,29,45,13,4,31,13,6,46,52,89,45,51,32,18,56,25,25,68,14,3,1,1,13,9,15,38,11,51,7,0,,5,5,2,3,0.64,1,2,124,81,65,64,20,2,,,,,,,0.84
dinamarca_danish_superliga_2026_2027,2026-08-30,6,Silkeborg IF,FC Midtjylland,1,1,FC Midtjylland,away,57,15,4,10,10,5,1,2.56,4,1,3,468,390,83.3,63,34,54,28,11,39,14,5,36,44,63,25,40,28,15,54,10,10,50,10,,2,7,20,7,10,14,12,57,9,2,,4,4,2,0,0.58,,,138,93,67,77,35,5,121,30,88,34,78,36,2.5
dinamarca_danish_superliga_2026_2027,2026-08-30,6,Silkeborg IF,FC Midtjylland,1,1,Silkeborg IF,home,43,12,5,5,10,2,2,1.37,3,1,3,366,279,76.2,48,12,25,10,4,40,14,10,71,56,63,38,60,28,13,46,18,18,94,10,,4,4,11,16,10,44,6,49,6,0,,3,3,1,1,0.19,,,123,81,66,48,27,2,82,26,77,43,51,31,1.11
dinamarca_danish_superliga_2026_2027,2026-08-31,6,FC København,Sønderjyske Fodbold,3,1,FC København,home,59,25,8,11,13,12,6,2.43,2,1,1,570,485,85.1,43,26,60,22,6,27,18,6,33,55,59,29,49,38,24,63,14,14,43,6,1,0,7,19,9,10,21,7,47,4,1,2,1,1,0,1,-0.61,,,151,107,71,50,42,3,85,19,74,39,54,42,2.43
dinamarca_danish_superliga_2026_2027,2026-08-31,6,FC København,Sønderjyske Fodbold,3,1,Sønderjyske Fodbold,away,41,11,2,6,6,5,3,0.78,2,1,1,391,323,82.6,59,24,41,17,3,18,11,9,82,45,59,30,51,38,14,37,16,16,50,10,1,1,3,9,15,6,41,19,41,12,1,3,5,5,1,1,0.21,,,101,74,73,51,16,0,73,16,72,59,37,25,0.78
dinamarca_danish_superliga_2026_2027,2026-09-02,3,AGF,FC Midtjylland,0,2,AGF,home,59,18,3,10,10,8,5,1.21,2,0,2,449,384,85.5,34,12,35,21,3,14,11,5,45,52,68,36,53,31,15,48,12,12,83,19,2,1,8,18,9,20,32,5,39,7,0,0,5,5,2,1,-0.27,,1,117,86,74,57,22,4,,,,,,,1.08
dinamarca_danish_superliga_2026_2027,2026-09-02,3,AGF,FC Midtjylland,0,2,FC Midtjylland,away,41,14,7,6,10,4,1,1.71,5,1,4,302,239,79.1,59,27,46,16,3,19,8,2,25,48,68,32,47,31,16,52,13,13,77,20,3,2,5,14,8,19,24,15,45,6,1,2,3,3,0,5,0.28,,1,93,58,62,57,21,2,,,,,,,1.4
dinamarca_danish_superliga_2026_2027,2026-09-03,3,FC København,FC Nordsjælland,2,0,FC København,home,41,21,7,8,9,12,6,1.62,2,1,1,414,338,81.6,56,29,52,10,2,20,14,9,64,51,74,36,49,19,11,58,19,19,58,14,3,2,2,15,5,10,29,19,55,7,,1,1,1,0,1,0.4,0,0,95,60,63,38,25,4,62,20,56,49,48,31,1.45
dinamarca_danish_superliga_2026_2027,2026-09-03,3,FC København,FC Nordsjælland,2,0,FC Nordsjælland,away,59,10,1,4,8,2,5,0.63,0,0,0,611,522,85.4,51,18,35,6,2,33,23,12,52,49,74,38,51,19,8,42,12,12,42,10,2,0,0,20,13,14,14,7,41,8,,0,5,5,2,0,-0.21,1,2,124,81,65,66,22,1,75,27,76,61,34,12,0.62
